index,job_title,overall_relevance_score,skill_coverage,experience_fit,role_alignment,domain_alignment,education_fit,deployment_alignment,management_alignment,matched_jd_skills,score_rationale
1,Senior Fullstack Developer,0.842,0.667,0.975,1.0,1.0,1.0,0.5,1.0,JavaScript;TypeScript;React;Next.js;Git;CI/CD,"Matches 6/9 JD skills including JavaScript, TypeScript, React. Shows 7.8 years against a 8-year target. Same role family. Domain alignment 1.00."
2,Android Developer,0.739,0.5,0.81,1.0,1.0,1.0,0.5,1.0,Java;Kotlin;NXP;STMicro,"Matches 4/8 JD skills including Java, Kotlin, NXP. Shows 3.9 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
3,iOS Developer,0.79,0.75,0.625,1.0,1.0,1.0,0.5,1.0,Swift;UIKit;Objective-C,"Matches 3/4 JD skills including Swift, UIKit, Objective-C. Shows 2.5 years against a 4-year target. Same role family. Domain alignment 1.00."
4,Aws Devops Engineer,0.761,0.429,0.95,1.0,1.0,1.0,0.8,1.0,Git;Jenkins;Docker;Kubernetes;Linux;Terraform,"Matches 6/14 JD skills including Git, Jenkins, Docker. Shows 2.5 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
5,Java Spring boot Developer,0.861,0.75,0.92,1.0,1.0,1.0,0.5,1.0,Java;Spring Boot;Microservices,"Matches 3/4 JD skills including Java, Spring Boot, Microservices. Shows 4.6 years against a 5-year target. Same role family. Domain alignment 1.00."
6,Artificial Intelligence and Machine Learning Engineer,0.622,0.143,0.99,1.0,1.0,0.5,0.5,1.0,Python,"Matches 1/7 JD skills including Python. Shows 2.1 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
7,Product Manager,0.785,0.5,1.0,1.0,1.0,1.0,0.5,1.0,,Shows 8.7 years against a 8-year target. Same role family. Domain alignment 1.00. Management scope aligned.
8,Duck Creek Billing Developer,0.727,0.375,0.85,1.0,1.0,1.0,1.0,1.0,Socotra;.NET;XSLT;job scheduling;Azure DevOps;Git,"Matches 6/16 JD skills including Socotra, .NET, XSLT. Shows 5.1 years against a 6-year target. Same role family. Domain alignment 1.00."
9,iOS Developer,0.826,0.714,0.83,1.0,1.0,1.0,0.5,1.0,Swift;Objective-C;Xcode;REST APIs;Firebase,"Matches 5/7 JD skills including Swift, Objective-C, Xcode. Shows 3.7 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
10,Cloud Architect,0.707,0.333,1.0,1.0,1.0,1.0,0.5,0.7,PaaS;IaaS;SaaS,"Matches 3/9 JD skills including PaaS, IaaS, SaaS. Shows 8.5 years against a 8-year target. Same role family. Domain alignment 1.00."
11,Frontend Developer,0.658,0.333,0.85,1.0,1.0,0.45,0.5,1.0,CSS;JavaScript;React;HTML,"Matches 4/12 JD skills including CSS, JavaScript, React. Shows 3.5 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
12,Architect Compute & Cloud 1 1,0.619,0.188,0.9,1.0,1.0,1.0,0.333,0.7,Terraform;IAAS;PAAS,"Matches 3/16 JD skills including Terraform, IAAS, PAAS. Shows 4.5 years against a 5-year target. Same role family. Domain alignment 1.00."
13,Android Developer,0.605,0.091,1.0,1.0,1.0,1.0,0.0,1.0,Kotlin;Flow,"Matches 2/22 JD skills including Kotlin, Flow. Shows 4.4 years against a 3-year target. Same role family. Domain alignment 1.00."
14,Engineering Manager,0.596,0.182,0.78,1.0,1.0,1.0,0.2,1.0,JavaScript;Node.js;Docker;Git,"Matches 4/22 JD skills including JavaScript, Node.js, Docker. Shows 7.8 years against a 10-year target. Same role family. Domain alignment 1.00. Management scope aligned."
15,Android Developer,0.975,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Java;MVVM;Android;Kotlin;Jetpack,"Matches 5/5 JD skills including Java, MVVM, Android. Shows 4.5 years against a 4-year target. Same role family. Domain alignment 1.00."
16,iOS Developer,0.705,0.333,0.93,1.0,1.0,1.0,0.5,1.0,Swift;Xcode;REST APIs;SwiftUI;UIKit;Core Data,"Matches 6/18 JD skills including Swift, Xcode, REST APIs. Shows 2.7 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
17,Aws Devops Engineer,0.62,0.167,0.84,1.0,1.0,1.0,0.5,1.0,Kubernetes,"Matches 1/6 JD skills including Kubernetes. Shows 3.6 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
18,Staff Site Reliability Engineer,0.622,0.222,0.825,1.0,1.0,1.0,0.5,0.7,Linux;Ansible,"Matches 2/9 JD skills including Linux, Ansible. Shows 6.6 years against a 8-year target. Same role family. Domain alignment 1.00."
19,Data Scientist 1,0.676,0.4,0.81,1.0,1.0,1.0,0.0,1.0,SQL;Python,"Matches 2/5 JD skills including SQL, Python. Shows 3.9 years, slightly above fresher expectations. Same role family. Domain alignment 1.00."
20,Data Engineer,0.646,0.2,1.0,1.0,1.0,1.0,0.0,1.0,Apache Spark,Matches 1/5 JD skills including Apache Spark. Shows 5.0 years against a 5-year target. Same role family. Domain alignment 1.00.
21,UI/UX Designer/LEAD,0.67,0.333,0.9,1.0,1.0,0.45,0.5,1.0,HTML;CSS,"Matches 2/6 JD skills including HTML, CSS. Shows 3.6 years against a 4-year target. Same role family. Domain alignment 1.00. Management scope aligned."
22,Principal Machine Learning Engineer,0.595,0.3,0.68,1.0,1.0,0.45,0.6,0.7,Docker;Kubernetes;AWS,"Matches 3/10 JD skills including Docker, Kubernetes, AWS. Shows 3.4 years against a 5-year target. Same role family. Domain alignment 1.00."
23,Quality Assurance and Automation Engineer,0.658,0.167,1.0,1.0,1.0,1.0,0.5,1.0,Jenkins,Matches 1/6 JD skills including Jenkins. Shows 7.1 years against a 6-year target. Same role family. Domain alignment 1.00.
24,AWS DevOps Engineer,0.679,0.222,1.0,1.0,1.0,1.0,0.5,1.0,Jenkins;Docker;Kubernetes;Ansible,"Matches 4/18 JD skills including Jenkins, Docker, Kubernetes. Shows 1.0 years which fits the fresher role expectation. Same role family. Domain alignment 1.00."
25,Technical Support Representative-Security Analyst,0.595,0.0,1.0,1.0,1.0,1.0,0.5,1.0,,Matches 0/6 JD skills. Shows 3.1 years against a 3-year target. Same role family. Domain alignment 1.00.
26,Security Engineer,0.595,0.0,1.0,1.0,1.0,1.0,0.5,1.0,,Matches 0/2 JD skills. Shows 5.0 years against a 3-year target. Same role family. Domain alignment 1.00.
27,Validation Engineering Manager,0.595,0.0,1.0,1.0,1.0,1.0,0.5,1.0,,Matches 0/7 JD skills. Shows 5.4 years against a 5-year target. Same role family. Domain alignment 1.00. Management scope aligned.
28,Aws Devops Engineer,0.576,0.231,0.628,1.0,1.0,1.0,0.143,1.0,Python;Shell Scripting;Jenkins;Ansible;Git;Linux administration,"Matches 6/26 JD skills including Python, Shell Scripting, Jenkins. Shows 5.9 years which may be overqualified for a fresher role. Same role family. Domain alignment 1.00."
29,Java Spring Boot with Microservices Developer,0.88,0.75,1.0,1.0,1.0,1.0,0.5,1.0,Java 8+;Spring Boot;REST APIs;Microservices;Hibernate;Docker,"Matches 6/8 JD skills including Java 8+, Spring Boot, REST APIs. Shows 5.0 years against a 5-year target. Same role family. Domain alignment 1.00."
30,SFDC QA Automation Engineer,0.614,0.1,0.92,1.0,1.0,1.0,0.5,1.0,Selenium,Matches 1/10 JD skills including Selenium. Shows 4.6 years against a 5-year target. Same role family. Domain alignment 1.00.
31,Fullstack Developer (React+ Node),0.644,0.25,0.912,1.0,1.0,1.0,0.0,1.0,Node.js,Matches 1/4 JD skills including Node.js. Shows 7.3 years against a 8-year target. Same role family. Domain alignment 1.00.
32,Android Developer,0.785,0.5,1.0,1.0,1.0,1.0,0.5,1.0,MVVM;Kotlin,"Matches 2/4 JD skills including MVVM, Kotlin. Shows 4.0 years against a 3-year target. Same role family. Domain alignment 1.00."
33,Frontend Developer,0.795,0.6,1.0,1.0,1.0,0.45,0.5,1.0,Next.js;TypeScript;Git,"Matches 3/5 JD skills including Next.js, TypeScript, Git. Shows 3.4 years against a 2-year target. Same role family. Domain alignment 1.00."
34,Senior Data Scientist,0.62,0.267,0.9,1.0,1.0,0.45,0.0,1.0,Python;SQL;Pandas;NumPy,"Matches 4/15 JD skills including Python, SQL, Pandas. Shows 5.4 years against a 6-year target. Same role family. Domain alignment 1.00."
35,IT Database Administrator II,0.673,0.333,0.9,1.0,1.0,1.0,0.0,1.0,MySQL;SQL,"Matches 2/6 JD skills including MySQL, SQL. Shows 1.8 years against a 2-year target. Same role family. Domain alignment 1.00."
36,Full Stack Developer (React with Node),0.743,0.455,1.0,1.0,1.0,1.0,0.0,1.0,React Native;Node.js;Java;React;Microservices,"Matches 5/11 JD skills including React Native, Node.js, Java. Shows 4.0 years against a 4-year target. Same role family. Domain alignment 1.00."
